comunita,desc,SEDE,anno,idcodEnte,valore,geometry
1.000000,VALLE DI FIEMME, CAVALESE,2013,1,19.900000,
2.000000,PRIMIERO,TONADICO,2013,2,25.100000,
3.000000,BASSA VALSUGANA,BORGO VALSUGANA,2013,3,2.600000,
4.000000,ALTA VALSUGANA,PERGINE VALSUGANA,2013,4,8.700000,
5.000000,CEMBRA,FAVER,2013,5,1.700000,
6.000000,VAL DI NON,CLES,2013,6,4.400000,
7.000000,VAL DI SOLE,MALE',2013,7,45.400000,
8.000000,GIUDICARIE,TIONE DI TRENTO,2013,8,18.000000,
9.000000,ALTO GARDA E LEDRO,RIVA DEL GARDA,2013,9,19.500000,
10.000000,VALLAGARINA,ROVERETO,2013,10,1.200000,
11.000000,LADINO DI FASSA,POZZA DI FASSA,2013,11,83.500000,
12.000000,"ALTOPIANO DI FOLGARIA, LAVARONE E LUSERNA",LAVARONE,2013,12,53.800000,
13.000000,ROTALIANA,MEZZOCORONA,2013,13,0.700000,
13.000000,ROTALIANA,MEZZOCORONA,2013,13,0.700000,
14.000000,PAGANELLA,ANDALO,2013,14,84.500000,
15.000000,VAL D'ADIGE,TRENTO,2013,15,2.000000,
16.000000,VALLE DEI LAGHI,VEZZANO,2013,16,1.400000,
